"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","Get all students","SUCCESS","2020-05-06T11:25:08.467+05:30[Asia/Calcutta]","0.0","0.55"
"First serenity test","Get all students","SUCCESS","2020-05-06T11:25:19.478+05:30[Asia/Calcutta]","0.0","0.74"
"Students CRUD test","This Test will create a New Student","SUCCESS","2020-05-06T11:25:20.438+05:30[Asia/Calcutta]","0.0","1.69"
"Students CRUD test","veirfy if the student is addded to the application successfully","SUCCESS","2020-05-06T11:25:22.128+05:30[Asia/Calcutta]","0.0","1.68"
"Students CRUD test","Update the user information and verify the updated information","SUCCESS","2020-05-06T11:25:23.808+05:30[Asia/Calcutta]","0.0","0.96"
"Students CRUD test","Delete the student and verify if the student is deleted","SUCCESS","2020-05-06T11:25:24.774+05:30[Asia/Calcutta]","0.0","0.99"
"Students CRUD test with steps","This Test will create a New Student","SUCCESS","2020-05-06T11:25:26.143+05:30[Asia/Calcutta]","0.0","0.8"
"Students CRUD test with steps","Verify if the student is addded to the application successfully","SUCCESS","2020-05-06T11:25:26.948+05:30[Asia/Calcutta]","0.0","0.87"
"Students CRUD test with steps","Update the user information and verify the updated information","SUCCESS","2020-05-06T11:25:27.822+05:30[Asia/Calcutta]","0.0","1.08"
"Students CRUD test with steps","Delete the student and verify if the student is deleted","SUCCESS","2020-05-06T11:25:28.911+05:30[Asia/Calcutta]","0.0","0.93"
